split,model_name,queue_acc,queue_macro_f1,priority_acc,type_acc,score
val,tfidf_linear_svc,0.6876619170984456,0.897916096797952,0.721178756476684,0.8931347150259067,0.8706882884839549
test,tfidf_linear_svc,0.6937024445523717,0.8959920457413006,0.7136150234741784,0.8997895418487939,0.8692051168173562
